accession	id	ec	length	organism	primary_pfam	primary_pfam_name	all_pfams
Q4UWF4	XOPAC_XANC8	2.7.7.-	536	Xanthomonas campestris pv. campestris (strain 8004)	PF02661	Fic/DOC family	PF02661
Q4W382	L_LNYV3	2.7.7.48; 2.7.7.88; 3.6.1.-	2068	Lettuce necrotic yellows virus (isolate 318) (LNYV)	PF14318	Mononegavirales mRNA-capping region V	PF14318;PF00946
Q4WV19	UBA4_ASPFU	2.7.7.80; 2.8.1.11	493	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	PF00899	ThiF family	PF00581;PF00899
Q54YZ0	UGPA2_DICDI	2.7.7.9	502	Dictyostelium discoideum (Social amoeba)	PF01704	UTP--glucose-1-phosphate uridylyltransferase	PF01704
Q56XM9	PAPS3_ARATH	2.7.7.19	507	Arabidopsis thaliana (Mouse-ear cress)	PF04928	Poly(A) polymerase central domain	PF04928;PF20750
Q57V03	CGM1_TRYB2	2.1.1.56; 2.7.7.50	1050	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	PF03291	mRNA (guanine-N(7))-methyltransferase domain	PF03919;PF03291
Q58579	RIBL_METJA	2.7.7.2	149	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	PF01467	Cytidylyltransferase-like	PF01467
Q58E95	MOCS3_XENLA	2.7.7.80; 2.8.1.11	451	Xenopus laevis (African clawed frog)	PF00899	ThiF family	PF00581;PF00899
Q58HT7	POLG_DEN4P	2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	3387	Dengue virus type 4 (strain Philippines/H241/1956) (DENV-4)	PF07652	Flavivirus DEAD domain	PF20907;PF01003;PF07652;PF21659;PF02832;PF00869;PF01004;PF00948;PF01005;PF01002;PF01350;PF01349;PF00972;PF20483;PF01570;PF01728;PF00949
Q58T34	FKP_BACFG	2.7.1.52; 2.7.7.30	949	Bacteroides fragilis	PF07959	?	PF07959;PF08544;PF00288
Q59KI0	UGP1_CANAL	2.7.7.9	500	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	PF01704	UTP--glucose-1-phosphate uridylyltransferase	PF01704
Q5BLK4	TUT7_MOUSE	2.7.7.52	1491	Mus musculus (Mouse)	PF00098	?	PF22600;PF03828;PF19088;PF16631;PF00098
Q5D869	NRPE1_ARATH	2.7.7.6	1976	Arabidopsis thaliana (Mouse-ear cress)	PF04998	RNA polymerase Rpb1, domain 5	PF11523;PF00623;PF04983;PF04998
Q5I0G4	GARS_RAT	2.7.7.-; 6.1.1.14	728	Rattus norvegicus (Rat)	PF03129	Anticodon binding domain	PF03129;PF00587;PF00458
Q5I2N3	POLG_HCV6A	2.7.7.48; 3.4.21.98; 3.4.22.-; 3.6.1.15; 3.6.4.13	3019	Hepatitis C virus genotype 6a (isolate 6a33) (HCV)	PF07652	Flavivirus DEAD domain	PF07652;PF01543;PF01542;PF01539;PF01560;PF01538;PF01006;PF01001;PF01506;PF08300;PF08301;PF12941;PF22027;PF02907;PF00998
Q5K2K3	L_ISFV	2.7.7.48; 2.7.7.88; 3.6.1.-	2093	Isfahan virus (ISFV)	PF14318	Mononegavirales mRNA-capping region V	PF21080;PF14314;PF21081;PF14318;PF00946
Q5MYT7	OAS3_RAT	2.7.7.84	1137	Rattus norvegicus (Rat)	PF01909	Nucleotidyltransferase domain	PF01909;PF10421
Q5MYU0	OAS2_RAT	2.7.7.84	733	Rattus norvegicus (Rat)	PF01909	Nucleotidyltransferase domain	PF01909;PF10421
Q5R4N7	REV1_PONAB	2.7.7.-	1251	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	PF00817	impB/mucB/samB family	PF00533;PF00817;PF11799;PF21999;PF16727;PF14377
Q5RBL5	NMNA2_PONAB	2.7.7.1; 2.7.7.18	307	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	PF01467	Cytidylyltransferase-like	PF01467
Q5RCW2	PNPT1_PONAB	2.7.7.8	783	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	PF01138	3' exoribonuclease family, domain 1	PF00013;PF03726;PF01138;PF03725;PF00575
Q5RCY2	NUDT5_PONAB	2.7.7.96; 3.6.1.13; 3.6.1.58	216	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	PF00293	?	PF00293
Q5RJG7	ISPD_MOUSE	2.7.7.40	447	Mus musculus (Mouse)	PF01128	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	PF01128;PF18706
Q5SSF7	TET5C_MOUSE	2.7.7.19	391	Mus musculus (Mouse)	PF07984	Nucleotidyltransferase	PF07984
Q5TAX3	TUT4_HUMAN	2.7.7.52	1644	Homo sapiens (Human)	PF00098	?	PF22600;PF03828;PF19088;PF00098
Q5U315	GLD2_RAT	2.7.7.19	484	Rattus norvegicus (Rat)	PF22600	Poly(A) RNA polymerase, mitochondrial-like, central palm domain	PF22600;PF03828
Q5UB51	POLG_DEN3I	2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	3390	Dengue virus type 3 (strain Singapore/8120/1995) (DENV-3)	PF07652	Flavivirus DEAD domain	PF20907;PF01003;PF07652;PF21659;PF02832;PF00869;PF01004;PF00948;PF01005;PF01002;PF01350;PF01349;PF00972;PF20483;PF01570;PF01728;PF00949
Q5UCB8	POLG_DEN4S	2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	3387	Dengue virus type 4 (strain Singapore/8976/1995) (DENV-4)	PF07652	Flavivirus DEAD domain	PF20907;PF01003;PF07652;PF21659;PF02832;PF00869;PF01004;PF00948;PF01005;PF01002;PF01350;PF01349;PF00972;PF20483;PF01570;PF01728;PF00949
Q5VWP2	TET5C_HUMAN	2.7.7.19	391	Homo sapiens (Human)	PF07984	Nucleotidyltransferase	PF07984
Q5VYS8	TUT7_HUMAN	2.7.7.52	1495	Homo sapiens (Human)	PF00098	?	PF22600;PF03828;PF19088;PF16631;PF00098
Q5W915	USP_PEA	2.7.7.64	600	Pisum sativum (Garden pea) (Lathyrus oleraceus)	PF01704	UTP--glucose-1-phosphate uridylyltransferase	PF01704
Q5WPU5	POLG_USUV	2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	3434	Usutu virus (USUV)	PF07652	Flavivirus DEAD domain	PF20907;PF01003;PF07652;PF21659;PF02832;PF00869;PF01004;PF00948;PF01005;PF01002;PF01350;PF01349;PF00972;PF20483;PF01570;PF01728;PF00949
Q5XET5	HESO1_ARATH	2.7.7.52	511	Arabidopsis thaliana (Mouse-ear cress)	PF22600	Poly(A) RNA polymerase, mitochondrial-like, central palm domain	PF22600
Q5XG87	PAPD7_HUMAN	2.7.7.-; 2.7.7.19	792	Homo sapiens (Human)	PF22600	Poly(A) RNA polymerase, mitochondrial-like, central palm domain	PF22600;PF03828
Q5XIM7	SYK_RAT	2.7.7.-; 6.1.1.6	626	Rattus norvegicus (Rat)	PF01336	?	PF00152;PF01336
Q5XX01	L_EBOSU	2.7.7.48; 2.7.7.88; 3.6.1.-	2210	Sudan ebolavirus (strain Human/Uganda/Gulu/2000) (SEBOV) (Sudan Ebola virus)	PF14318	Mononegavirales mRNA-capping region V	PF14314;PF14318;PF00946
Q5XXP4	POLN_CHIK3	2.1.1.-; 2.7.7.-; 2.7.7.19; 2.7.7.48; 3.1.3.84; 3.4.22.-; 3.6.1.15; 3.6.1.74; 3.6.4.13	2474	Chikungunya virus (strain 37997) (CHIKV)	PF00978	RNA dependent RNA polymerase	PF01661;PF20852;PF01707;PF00978;PF20896;PF01443;PF01660
Q5Y389	POLN_GETV	2.1.1.-; 2.7.7.-; 2.7.7.19; 2.7.7.48; 3.1.3.84; 3.4.22.-; 3.6.1.15; 3.6.1.74; 3.6.4.13	2467	Getah virus (GETV)	PF00978	RNA dependent RNA polymerase	PF01661;PF20852;PF01707;PF00978;PF20896;PF01443;PF01660
Q5Y944	POLG_HAVCF	2.7.7.48; 3.4.22.28; 3.6.1.15	2225	Human hepatitis A virus genotype IIA (isolate CF-53) (HHAV) (Human hepatitis A virus (isolate Human/France/CF-53/1979))	PF00680	Viral RNA-dependent RNA polymerase	PF20758;PF12944;PF00680;PF00073;PF00910
Q5ZR76	GDPP1_CAEEL	2.7.7.78	482	Caenorhabditis elegans	PF26216	GDPGP1-like, C-terminal domain	PF26216;PF26217
Q5ZSQ3	DRRA_LEGPH	2.7.7.108; 2.7.7.n6	647	Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513)	PF14860	?	PF14860;PF20879;PF20851
Q60967	PAPS1_MOUSE	2.7.1.25; 2.7.7.4	624	Mus musculus (Mouse)	PF01747	ATP-sulfurylase	PF01583;PF01747;PF14306
Q61183	PAPOA_MOUSE	2.7.7.19	739	Mus musculus (Mouse)	PF04928	Poly(A) polymerase central domain	PF04928;PF20750;PF04926
Q61493	REV3L_MOUSE	2.7.7.7	3122	Mus musculus (Mouse)	PF03104	DNA polymerase family B, exonuclease domain	PF00136;PF03104;PF15735;PF24055;PF24065;PF14260
Q641A1	GLD2A_XENLA	2.7.7.19	509	Xenopus laevis (African clawed frog)	PF22600	Poly(A) RNA polymerase, mitochondrial-like, central palm domain	PF22600;PF03828
Q64962	RDRP_ASPVP	1.14.11.-; 2.1.1.-; 2.7.7.48; 3.4.22.-; 3.6.4.13	2183	Apple stem pitting virus (isolate PA66) (ASPV)	PF00978	RNA dependent RNA polymerase	PF03171;PF05379;PF00978;PF01443;PF01660
Q65399	POLG_BCMNN	2.7.7.48; 3.4.21.-; 3.4.22.44; 3.4.22.45; 3.6.4.-	3066	Bean common mosaic necrosis virus (strain NL-3) (BCMNV) (Bean common mosaic virus serotype A (strain NL-3))	PF00680	Viral RNA-dependent RNA polymerase	PF00270;PF00271;PF00863;PF00851;PF01577;PF00767;PF08440;PF13608;PF00680
Q65652	RDRP_BBSCV	1.14.11.-; 2.1.1.-; 2.7.7.48; 3.4.22.-; 3.6.4.13	1967	Blueberry scorch virus (BBScV)	PF00978	RNA dependent RNA polymerase	PF03171;PF05379;PF00978;PF01443;PF01660
Q65667	RDRP_BNYVS	2.1.1.-; 2.7.7.-; 2.7.7.48; 3.4.22.-; 3.6.4.13	2109	Beet necrotic yellow vein virus (isolate Japan/S) (BNYVV)	PF00978	RNA dependent RNA polymerase	PF05415;PF00978;PF01443
Q65730	POLG_BSTV1	2.7.7.48; 3.4.21.-; 3.4.22.44; 3.4.22.45; 3.6.4.-	3093	Brome streak virus (strain 11-Cal) (BStV) (Brome streak mosaic rymovirus)	PF00680	Viral RNA-dependent RNA polymerase	PF00270;PF00271;PF00863;PF00851;PF13611;PF00767;PF08440;PF00680
Q65900	POLG_CX16G	2.7.7.48; 3.4.22.28; 3.4.22.29; 3.6.1.15	2193	Coxsackievirus A16 (strain G-10)	PF00680	Viral RNA-dependent RNA polymerase	PF08727;PF00548;PF02226;PF00947;PF01552;PF00680;PF00073;PF22663;PF00910
Q66282	POLG_CXB3W	2.7.7.48; 3.4.22.28; 3.4.22.29; 3.6.1.15	2185	Coxsackievirus B3 (strain Woodruff)	PF00680	Viral RNA-dependent RNA polymerase	PF08727;PF00548;PF02226;PF00947;PF01552;PF00680;PF00073;PF22663;PF00910
Q66431	L_DUGBA	2.7.7.48; 3.1.-.-; 3.4.19.12; 3.4.22.-	4036	Dugbe virus (isolate ArD44313) (DUGV)	PF04196	Bunyavirus RNA dependent RNA polymerase	PF04196;PF15518;PF02338
Q66474	POLG_EC06C	2.7.7.48; 3.4.22.28; 3.4.22.29; 3.6.1.15	2191	Echovirus 6 (strain Charles)	PF00680	Viral RNA-dependent RNA polymerase	PF08727;PF00548;PF02226;PF00947;PF01552;PF00680;PF00073;PF22663;PF00910
Q66478	POLG_HE71B	2.7.7.48; 3.4.22.28; 3.4.22.29; 3.6.1.15	2193	Human enterovirus 71 (strain USA/BrCr/1970) (EV71) (EV-71)	PF00680	Viral RNA-dependent RNA polymerase	PF08727;PF00548;PF02226;PF00947;PF01552;PF00680;PF00073;PF22663;PF00910
Q66479	POLG_HE71M	2.7.7.48; 3.4.22.28; 3.4.22.29; 3.6.1.15	2193	Human enterovirus 71 (strain 7423/MS/87) (EV71) (EV-71)	PF00680	Viral RNA-dependent RNA polymerase	PF08727;PF00548;PF02226;PF00947;PF01552;PF00680;PF00073;PF22663;PF00910
Q66575	POLG_EC12T	2.7.7.48; 3.4.22.28; 3.4.22.29; 3.6.1.15	2193	Echovirus 12 (strain Travis)	PF00680	Viral RNA-dependent RNA polymerase	PF08727;PF00548;PF02226;PF00947;PF01552;PF00680;PF00073;PF00910
Q66577	POLG_EC09B	2.7.7.48; 3.4.22.28; 3.4.22.29; 3.6.1.15	2203	Echovirus 9 (strain Barty)	PF00680	Viral RNA-dependent RNA polymerase	PF08727;PF00548;PF02226;PF00947;PF01552;PF00680;PF00073;PF00910
Q66578	POLG_HPE1H	2.7.7.48; 3.4.22.28; 3.6.1.15	2180	Human parechovirus 1 (strain Harris) (HPeV-1) (Echovirus 22)	PF00680	Viral RNA-dependent RNA polymerase	PF06344;PF00548;PF06363;PF00680;PF00073;PF00910
Q66765	POLG_EMCVR	2.7.7.48; 3.4.22.28; 3.6.4.13	2292	Encephalomyocarditis virus (strain Rueckert) (EMCV)	PF00680	Viral RNA-dependent RNA polymerase	PF00548;PF00680;PF00073;PF22663;PF00910;PF11475
Q66849	POLG_EC09H	2.7.7.48; 3.4.22.28; 3.4.22.29; 3.6.1.15	2193	Echovirus 9 (strain Hill)	PF00680	Viral RNA-dependent RNA polymerase	PF08727;PF00548;PF02226;PF00947;PF01552;PF00680;PF00073;PF00910
Q66862	REP1_FBNC1	2.7.7.-; 3.1.21.-; 3.6.1.-	278	Faba bean necrotic yellows C1 alphasatellite (FBNYC1A)	PF00910	RNA helicase	PF00910;PF02407
Q66914	POLG_FCVUR	2.7.7.48; 3.4.22.66; 3.6.1.15	1763	Feline calicivirus (strain Cat/United States/Urbana/1960) (FCV)	PF00680	Viral RNA-dependent RNA polymerase	PF03510;PF00680;PF00910;PF20915
Q66929	RDRP_FHV	2.7.7.48	998	Flock house virus (FHV)	PF19222	?	PF19222
Q672I1	POLG_SVSAP	2.7.7.48; 3.4.22.66; 3.6.1.15	2280	Sapporo virus (isolate GI/Human/Germany/pJG-Sap01) (Hu/Dresden/pJG-Sap01/DE)	PF00680	Viral RNA-dependent RNA polymerase	PF00915;PF03510;PF00680;PF00910;PF20915
Q673L6	TERT_RAT	2.7.7.49	1125	Rattus norvegicus (Rat)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00078;PF12009;PF21399
Q67726	NS1AB_HASV1	2.7.7.48; 3.4.21.-	1436	Human astrovirus-1 (HAstV-1)	PF00680	Viral RNA-dependent RNA polymerase	PF19415;PF19414;PF19416;PF12285;PF00680;PF13365
Q67825	POLG_HAVGB	2.7.7.48; 3.4.22.28; 3.6.1.15	2227	Human hepatitis A virus genotype IA (isolate GBM) (HHAV) (Human hepatitis A virus (isolate Human/Germany/GBM/1976))	PF00680	Viral RNA-dependent RNA polymerase	PF20758;PF12944;PF00680;PF00073;PF00910
Q67VC8	DPOLL_ORYSJ	2.7.7.7; 4.2.99.-	549	Oryza sativa subsp. japonica (Rice)	PF14791	DNA polymerase beta thumb	PF14792;PF14791;PF10391;PF14716
Q68749	POLG_HCVBB	2.7.7.48; 3.4.21.98; 3.4.22.-; 3.6.1.15; 3.6.4.13	3037	Hepatitis C virus genotype 2c (isolate BEBE1) (HCV)	PF07652	Flavivirus DEAD domain	PF07652;PF01543;PF01542;PF01539;PF01560;PF01538;PF01006;PF01001;PF01506;PF08300;PF08301;PF12941;PF22027;PF02907;PF00998
Q68772	RPOA_SHFV	2.7.7.48; 3.4.21.-; 3.4.22.-; 3.6.4.12; 3.6.4.13; 4.6.1.-	3595	Simian hemorrhagic fever virus (SHFV)	PF00680	Viral RNA-dependent RNA polymerase	PF16749;PF19215;PF05411;PF05412;PF05579;PF22049;PF00680;PF01443
Q68798	POLG_HCVJL	2.7.7.48; 3.4.21.98; 3.4.22.-; 3.6.1.15; 3.6.4.13	3022	Hepatitis C virus genotype 6g (isolate JK046) (HCV)	PF07652	Flavivirus DEAD domain	PF07652;PF01543;PF01542;PF01539;PF01560;PF01538;PF01006;PF01001;PF01506;PF08300;PF08301;PF12941;PF22027;PF02907;PF00998
Q68801	POLG_HCVJK	2.7.7.48; 3.4.21.98; 3.4.22.-; 3.6.1.15; 3.6.4.13	3019	Hepatitis C virus genotype 3k (isolate JK049) (HCV)	PF07652	Flavivirus DEAD domain	PF07652;PF01543;PF01542;PF01539;PF01560;PF01538;PF01006;PF01001;PF01506;PF08300;PF08301;PF12941;PF22027;PF02907;PF00998
Q68ED3	PAPD5_MOUSE	2.7.7.-; 2.7.7.19	633	Mus musculus (Mouse)	PF22600	Poly(A) RNA polymerase, mitochondrial-like, central palm domain	PF22600;PF03828
Q68T42	POLG_HED68	2.7.7.48; 3.4.22.28; 3.4.22.29; 3.6.1.15	2188	Human enterovirus D68 (EV68) (EV-68)	PF00680	Viral RNA-dependent RNA polymerase	PF08727;PF00548;PF02226;PF00947;PF01552;PF00680;PF00073;PF22663;PF00910
Q69014	POLG_SVM93	2.7.7.48; 3.4.22.66; 3.6.1.15	2280	Sapporo virus (strain Human/United Kingdom/Manchester/1993) (Hu/SV/Man/1993/UK)	PF00680	Viral RNA-dependent RNA polymerase	PF00915;PF03510;PF00680;PF00910;PF20915
Q69422	POLG_GBVB	2.7.7.48; 3.4.21.98; 3.4.22.-; 3.6.1.15; 3.6.4.13	2864	Hepatitis GB virus B (GBV-B) (GB virus B)	PF07652	Flavivirus DEAD domain	PF07652;PF01542;PF01539;PF01006;PF01001;PF01506;PF08300;PF08301;PF02907;PF00998
Q6A548	TERT_CANLF	2.7.7.49	1123	Canis lupus familiaris (Dog) (Canis familiaris)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00078;PF12009;PF21399
Q6ADP6	GLMU_LEIXX	2.3.1.157; 2.7.7.23	486	Leifsonia xyli subsp. xyli (strain CTCB07)	PF12804	MobA-like NTP transferase domain	PF12804
Q6AY47	FICD_RAT	2.7.7.108; 3.1.4.-	458	Rattus norvegicus (Rat)	PF02661	Fic/DOC family	PF02661
Q6AY63	NUDT5_RAT	2.7.7.96; 3.6.1.13; 3.6.1.58	219	Rattus norvegicus (Rat)	PF00293	?	PF00293
Q6BNG2	DPOE_DEBHA	2.7.7.7	2226	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	PF03104	DNA polymerase family B, exonuclease domain	PF03104;PF08490;PF22634;PF22912;PF23250
Q6C4J0	DPOE_YARLI	2.7.7.7	2183	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	PF03104	DNA polymerase family B, exonuclease domain	PF03104;PF08490;PF22634;PF22912;PF23250
Q6DBU5	GMPPB_DANRE	2.7.7.13	360	Danio rerio (Zebrafish) (Brachydanio rerio)	PF00483	Nucleotidyl transferase	PF25087;PF00483
Q6DFA8	GLD2B_XENLA	2.7.7.19	509	Xenopus laevis (African clawed frog)	PF22600	Poly(A) RNA polymerase, mitochondrial-like, central palm domain	PF22600;PF03828
Q6DRD3	DPOLB_DANRE	2.7.7.7; 4.2.99.-; 4.2.99.18	336	Danio rerio (Zebrafish) (Brachydanio rerio)	PF14791	DNA polymerase beta thumb	PF14792;PF14791;PF10391;PF14716
Q6DV88	POLG_YEFVA	2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	3411	Yellow fever virus (strain Ghana/Asibi/1927) (YFV)	PF07652	Flavivirus DEAD domain	PF20907;PF01003;PF07652;PF21659;PF02832;PF00869;PF01004;PF00948;PF01005;PF01002;PF01350;PF01349;PF00972;PF20483;PF01570;PF01728;PF00949
Q6EWG9	POL1_CRLVP	2.7.7.48; 3.4.22.-; 3.6.4.-	2250	Cherry rasp leaf virus (isolate Potato/United States) (CRLV)	PF00680	Viral RNA-dependent RNA polymerase	PF00680;PF00910
Q6FNA9	FAD1_CANGA	2.7.7.2	304	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) (Yeast) (Nakaseomyces glabratus)	PF01507	Phosphoadenosine phosphosulfate reductase domain	PF01507
Q6FNY7	DPOE_CANGA	2.7.7.7	2217	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) (Yeast) (Nakaseomyces glabratus)	PF03104	DNA polymerase family B, exonuclease domain	PF03104;PF08490;PF22634;PF22912;PF23250
Q6GWS6	L_LASV	2.7.7.48; 3.1.-.-	2219	Mammarenavirus lassaense	PF06317	Arenavirus RNA polymerase	PF06317;PF17296
Q6J3P1	POLG_YEFVC	2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	3411	Yellow fever virus (isolate Ivory Coast/1999) (YFV)	PF07652	Flavivirus DEAD domain	PF20907;PF01003;PF07652;PF21659;PF02832;PF00869;PF01004;PF00948;PF01005;PF01002;PF01350;PF01349;PF00972;PF20483;PF01570;PF01728;PF00949
Q6J8G2	POLN_HEVMG	2.1.1.-; 2.7.7.-; 2.7.7.48; 3.4.-.-; 3.6.4.-	1708	Hepatitis E virus genotype 3 (isolate Swine/United States/swUS1) (HEV-3) (Hepatitis E virus genotype 3 (isolate Swine/United States/Meng))	PF00978	RNA dependent RNA polymerase	PF12526;PF01661;PF05417;PF00978;PF01443;PF01660
Q6JDV7	POLK_ARATH	2.7.7.7	671	Arabidopsis thaliana (Mouse-ear cress)	PF00817	impB/mucB/samB family	PF00817;PF11799;PF18439
Q6P1E7	PRIPO_MOUSE	2.7.7.102; 2.7.7.7	537	Mus musculus (Mouse)	PF01896	DNA primase small subunit	PF01896;PF03121
Q6PB75	PAPD7_MOUSE	2.7.7.-; 2.7.7.19	785	Mus musculus (Mouse)	PF22600	Poly(A) RNA polymerase, mitochondrial-like, central palm domain	PF22600;PF03828
Q6PIY7	GLD2_HUMAN	2.7.7.19	484	Homo sapiens (Human)	PF22600	Poly(A) RNA polymerase, mitochondrial-like, central palm domain	PF22600;PF03828
Q6PMV1	POLG_FMDVP	2.7.7.48; 3.4.22.28; 3.4.22.46; 3.6.1.15	2322	Foot-and-mouth disease virus (isolate Swine/Taiwan/OTai/1997 serotype O) (FMDV)	PF00680	Viral RNA-dependent RNA polymerase	PF05408;PF00548;PF00680;PF00073;PF00910
Q6QLN1	POLN_AHEV	2.1.1.-; 2.7.7.-; 2.7.7.48; 3.4.-.-; 3.6.4.-	1531	Avian hepatitis E virus (isolate Chicken/California/Meng) (AHEV)	PF00978	RNA dependent RNA polymerase	PF12526;PF01661;PF00978;PF01443;PF01660
Q6R325	POLG_AEVVR	2.7.7.48; 3.4.22.28; 3.6.1.15	2134	Avian encephalomyelitis virus (strain Van Reokel) (AEV)	PF00680	Viral RNA-dependent RNA polymerase	PF12944;PF04970;PF00548;PF00680;PF00073;PF00910
Q6R3M4	POLI_MOUSE	2.7.7.7	717	Mus musculus (Mouse)	PF00817	impB/mucB/samB family	PF00817;PF11799;PF21999;PF14377
Q6TQR6	L_CCHFI	2.7.7.48; 3.1.-.-; 3.4.19.12; 3.4.22.-	3945	Crimean-Congo hemorrhagic fever virus (strain Nigeria/IbAr10200/1970) (CCHFV)	PF04196	Bunyavirus RNA dependent RNA polymerase	PF04196;PF15518;PF02338
Q6UP17	POLG_EOPV	2.7.7.48; 3.4.22.-; 3.6.4.13	2987	Ectropis obliqua picorna-like virus (EoPV)	PF00680	Viral RNA-dependent RNA polymerase	PF00680;PF00910
Q6UY63	L_MABVO	2.7.7.48; 2.7.7.88; 3.6.1.-	2331	Lake Victoria marburgvirus (strain Ozolin-75) (MARV) (Marburg virus (strain South Africa/Ozolin/1975))	PF14318	Mononegavirales mRNA-capping region V	PF14318;PF00946
Q6WB93	L_HMPVC	2.7.7.48; 2.7.7.88; 3.6.1.-	2005	Human metapneumovirus (strain CAN97-83) (HMPV)	PF14318	Mononegavirales mRNA-capping region V	PF14314;PF14318;PF00946
Q6WQ42	POLG_AEVL2	2.7.7.48; 3.4.22.28; 3.6.1.15	2134	Avian encephalomyelitis virus (strain L2Z) (AEV)	PF00680	Viral RNA-dependent RNA polymerase	PF12944;PF04970;PF00548;PF00680;PF00073;PF00910
Q6X2U2	POLN_RUBVC	2.7.7.48; 3.4.22.-; 3.6.1.15; 3.6.4.13	2116	Rubella virus (strain BRDII) (RUBV)	PF00978	RNA dependent RNA polymerase	PF01661;PF05407;PF00978;PF12601;PF01443
Q6X2U4	POLN_RUBVB	2.7.7.48; 3.4.22.-; 3.6.1.15; 3.6.4.13	2116	Rubella virus (strain BRD1) (RUBV)	PF00978	RNA dependent RNA polymerase	PF01661;PF05407;PF00978;PF12601;PF01443
Q6XDK8	POLG_SVM10	2.7.7.48; 3.4.22.66; 3.6.1.15	2278	Sapporo virus (isolate GII/Human/Thailand/Mc10/2000) (Hu/SaV/Mc10/2000/Thailand)	PF00680	Viral RNA-dependent RNA polymerase	PF00915;PF03510;PF00680;PF00910;PF20915
Q6XGD8	DNCV1_ECOLX	2.7.7.-	432	Escherichia coli	PF21654	?	PF21654;PF21713
Q6XW15	POLG_BTMV	2.7.7.48; 3.4.21.-; 3.4.22.44; 3.4.22.45; 3.6.4.-	3085	Beet mosaic virus (BtMV)	PF00680	Viral RNA-dependent RNA polymerase	PF00270;PF00271;PF00863;PF00851;PF01577;PF00767;PF08440;PF13608;PF00680
Q6YMS3	POLG_DEN3M	2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	3390	Dengue virus type 3 (strain Martinique/1243/1999) (DENV-3)	PF07652	Flavivirus DEAD domain	PF20907;PF01003;PF07652;PF21659;PF02832;PF00869;PF01004;PF00948;PF01005;PF01002;PF01350;PF01349;PF00972;PF20483;PF01570;PF01728;PF00949
Q6YMS4	POLG_DEN3S	2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	3390	Dengue virus type 3 (strain Sri Lanka/1266/2000) (DENV-3)	PF07652	Flavivirus DEAD domain	PF20907;PF01003;PF07652;PF21659;PF02832;PF00869;PF01004;PF00948;PF01005;PF01002;PF01350;PF01349;PF00972;PF20483;PF01570;PF01728;PF00949
Q72J02	TTUC_THET2	2.7.7.-; 2.7.7.73; 2.7.7.80	271	Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27)	PF00899	ThiF family	PF00899
Q73368	POL_HV1B9	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.13.2; 3.1.26.13; 3.4.23.16	1435	Human immunodeficiency virus type 1 group M subtype B (strain 89.6) (HIV-1)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00540;PF19317;PF00552;PF02022;PF00075;PF00665;PF00077;PF00078;PF06815;PF06817;PF00098
Q73MU2	PNTCW_TREDE	2.6.1.37; 2.7.7.107	616	Treponema denticola (strain ATCC 35405 / DSM 14222 / CIP 103919 / JCM 8153 / KCTC 15104)	PF12804	MobA-like NTP transferase domain	PF00266;PF12804
